2022-05-07 22:44:46,835 [MainThread  ] [INFO ]  Evaluations: 6. fitness: [103803201.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:30:00', '08:40:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:46,836 [MainThread  ] [INFO ]  Evaluations: 6. fitness: [107597174.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,211 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,310 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,319 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:50:00', '08:00:00', '09:10:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,369 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [108897987.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:50:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,401 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [107481724.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:30:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,402 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [106404572.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,460 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [106044243.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '07:50:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,521 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [106397449.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:40:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,541 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [106343074.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:10:00', '19:00:00', '20:10:00', '25:00:00']})
2022-05-07 22:44:47,583 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [106343074.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:10:00', '19:00:00', '20:10:00', '25:00:00']})
2022-05-07 22:44:47,650 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [103710303.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '07:30:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:47,705 [MainThread  ] [INFO ]  Evaluations: 7. fitness: [103747111.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:30:00', '08:50:00', '17:10:00', '18:40:00', '19:50:00', '25:00:00']})
